# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
2000 134.52 11.48
4000 131.445 14.555
6000 125.815 20.185
8000 116.9 29.1
10000 108.785 37.215
12000 107.825 38.175
14000 107.24 38.76
16000 105.365 40.635
18000 97.91 48.09
20000 93.995 52.005
22000 89.865 56.135
24000 90.025 55.975
26000 87.035 58.965
28000 84.805 61.195
30000 80.825 65.175
32000 78.52 67.48
34000 76.06 69.94
36000 81.695 64.305
38000 79.35 66.65
40000 79.55 66.45
42000 80.35 65.65
44000 79.345 66.655
46000 80.325 65.675
48000 77.47 68.53
50000 78.225 67.775
52000 74.19 71.81
54000 72.83 73.17
56000 69.605 76.395
58000 70.58 75.42
60000 67.935 78.065
62000 62.775 83.225
64000 61.065 84.935
66000 58.39 87.61
68000 58.305 87.695
70000 58.19 87.81
72000 59.635 86.365
74000 54.54 91.46
76000 55.56 90.44
78000 60.39 85.61
80000 60.025 85.975
82000 59.505 86.495
84000 56.665 89.335
86000 54.93 91.07
88000 52.045 93.955
90000 50.085 95.915
92000 49.355 96.645
94000 47.505 98.495
96000 46.325 99.675
98000 48.83 97.17
100000 47.595 98.405
102000 49.705 96.295
104000 50.35 95.65
106000 49.685 96.315
108000 49.275 96.725
110000 46.69 99.31
112000 46.21 99.79
114000 47.585 98.415
116000 45.325 100.675
118000 43.89 102.11
120000 45.34 100.66
122000 43.645 102.355
124000 44.255 101.745
126000 42.92 103.08
128000 43.795 102.205
130000 41.155 104.845
132000 39.725 106.275
134000 40.04 105.96
136000 41.125 104.875
138000 39.92 106.08
140000 38.285 107.715
142000 38.88 107.12
144000 36.945 109.055
146000 37.925 108.075
148000 39.005 106.995
150000 37.31 108.69
152000 35.86 110.14
154000 36.84 109.16
156000 33.265 112.735
158000 33.195 112.805
160000 34.515 111.485
162000 34.645 111.355
164000 34.25 111.75
166000 33.135 112.865
168000 30.295 115.705
170000 28.77 117.23
172000 30.76 115.24
174000 36.465 109.535
176000 37.475 108.525
178000 33.13 112.87
180000 35.945 110.055
182000 35.075 110.925
184000 34.1 111.9
186000 35.145 110.855
188000 34.585 111.415
190000 35.645 110.355
192000 35.825 110.175
194000 36.11 109.89
196000 34.855 111.145
198000 34.97 111.03
200000 32.165 113.835
202000 29.215 116.785
204000 27.135 118.865
206000 26.445 119.555
208000 28.395 117.605
210000 28.955 117.045
212000 31.395 114.605
214000 31.45 114.55
216000 30.5 115.5
218000 28.085 117.915
220000 29.92 116.08
222000 30.02 115.98
224000 30.3 115.7
226000 29.89 116.11
228000 28.155 117.845
230000 31.09 114.91
232000 33.62 112.38
234000 31.855 114.145
236000 29.215 116.785
238000 29.085 116.915
240000 31.095 114.905
242000 30.785 115.215
244000 33.475 112.525
246000 34.025 111.975
248000 34.39 111.61
250000 33.63 112.37
252000 32.625 113.375
254000 32.06 113.94
256000 32.54 113.46
258000 34.115 111.885
260000 32.4 113.6
262000 29.6 116.4
264000 29.035 116.965
266000 30.315 115.685
268000 31.96 114.04
270000 32.475 113.525
272000 29.815 116.185
274000 28 118
276000 30.06 115.94
278000 29.755 116.245
280000 28.49 117.51
282000 29.275 116.725
284000 33.1 112.9
286000 34.45 111.55
288000 33.675 112.325
290000 34.315 111.685
292000 34.12 111.88
294000 35.505 110.495
296000 37.04 108.96
298000 35.775 110.225
300000 32.805 113.195
